ent,desc
RESTRICTED_AREA,"An area of air, land, or water in which travel or other activities are subject to specified conditions or constraints."
REVETMENT,"A facing, other than a wall, of stone, concrete, wood, etc., built to sustain an embankment."
RIDGE,A long and narrow upland with steep sides.
RIDGE_LINE,The line separating drainage basins.
RIG,Vertical structure fitted for drilling or lifting operations.
ROAD,"An open way for the passage of vehicles, persons, or animals on land."
ROCK,"An isolated rocky formation or a single large stone, usually one constituting a danger to navigation. It may be always submerged, always uncovered, or alternately covered and uncovered by the tide."
ROUNDABOUT,Area of water subject to a routing measure restricting ship movement to a counter-clockwise direction.
RUNWAY,"A straight path used for landing, taxiing, and take-off of aircraft."
SALT_PAN,An area of salt deposits.
SEA,The great body of salt water of the oceans.
SHAFT,A long narrow passage sunk in the earth.
SHINGLE,A collection of loose pebbles on the shore of the sea or a lake.
SHIPYARD,A yard or area where ships are built or repaired.
SHORE,That part of the land in immediate contact with a body of water including the area between high and low water lines.
SHORELINE,The line of contact between a body of water and the land.
SIGN,A roadway associated feature which provides information to people passing.
SKI_AREA,An area used for skiing.
SKI_JUMP,A ramp used for ski jumping.
SNAG,A stem or trunk of a tree above or below the surface of the water.
SNOWFIELD,A region of permanent snow in mountainous areas or high latitudes.
SOLAR_PANEL,A unit of solar cells for converting sunlight into electrical energy or heat.
SPORTS_FIELD,A field on which sporting activities are carried out.
SPRING,The place where water issues from the ground naturally.
STADIUM,Large often unroofed structure in which athletic events are held.
STOCKYARD,An enclosed area in which livestock are temporarily kept.
SWASH,The mass of broken foaming water which rushes bodily up a beach as a wave breaks. Synonymous with SEND.
TALUS,Slopes of broken rock debris on a mountainside.
TANK,A structure used for the storage of fluids.
TENNIS_COURT,A recreational area used for playing tennis.
TERRACE,"A step-like feature between higher and lower ground: a relatively flat or gently inclined shelf of earth, backed and fronted by steep slopes or man-made retaining walls."
TIDAL_GAUGE,An instrument for measuring the height of the tide.
TIME_ZONE,A geographic region within which the same standard time is used.
TOWER,"A tall framework or structure, the elevation of which is functional."
TRAFFIC_SEPARATION_SCHEME_AREA,Area of water with lanes designated to separate opposing streams of vessel traffic.
TREE,"A woody perennial plant, having a self-supporting main stem or trunk."
TROUGH,A long depression of the sea floor.
TUNDRA,"A treeless area poleward or upward of the tree line of arctic or alpine regions, having a permanently frozen subsoil and supporting low-growing vegetation such as lichens, mosses, and stunted shrubs."
TUNNEL,An underground or underwater passage.
TURNING_BASIN,A water area used for turning vessels.
TURNTABLE,"A circular horizontal rotating platform equipped with a railway track, used for turning locomotives, as in a roundhouse."
UTILITY,"A linear distribution system consisting of pipelines, high tension wires, cables, etc., providing a public service and usually subject to government regulations."
VALLEY,"A long, narrow depression in the Earth's surface, usually with a fairly regular downslope."
WALL,"An upright structure of masonry, wood, plaster, or other building material serving to enclose, divide, or protect an area."
WATERCOURSE,A way or course through which water may or does flow.
WATERFALL,A sudden descent of water over a step or ledge in the bed of a river.
WATER_SURFACE,"The water portion of the Earth's surface, including the surface of sea and inland waters."
WATERING_PLACE,A place other than a spring or well where vessels and vehicles replenish their water supply.
WELL,"A pit or hole dug or bored into the earth, for the extraction of oil, water, other fluids or gases."
WETLAND,A vegetated area that is inundated or saturated by surface or groundwater.
WHARF,A structure extending parallel to the shoreline so that vessels may lie close alongside to receive and discharge cargo.
WIND_INDICATOR,A visual device used to provide wind information.
WINDBREAK,"A shelter, either natural (e.g., a line of trees or a thick hedge) or artificial (a screen), which breaks or interrupts the force of the wind."
WINDMILL,A mill or other machine that runs on the energy generated by a wheel of adjustable blades or flats rotated by the wind.
WOODLAND,"Land having a cover of trees, shrubs, or both."
WRECK,"A wrecked vessel, either submerged or visible, which is attached to or foul of the bottom or cast up on the shore."
ZONE_OF_OCCUPATION,"An area, usually temporary, held and controlled by a foreign military force."
